#,NAME,channel_name,total_subscribers,total_views,total_videos
63,AC Service Tech LLC@UCOZR-1IqsAer9wzlvFgb4mA,Tech Timmers,461000,2820161,44
64,Darbin Orvar@UCIrtu3uSwehD0pfmfMsHhUA,电丸科技AK,450000,82906123,1698
65,American Thought Leaders - The Epoch Times@UCmWhuFRkZKu0g-e1xrlakVA,Curiosity Cafe,429000,63199510,178
66,AK‘s Tech Studio@UCZVThl_MRppEdGUPGjXSSdg,WeberAuto,421000,79825519,89
67,TROYPOINT@UCWIThZubSeo-sOvbaxcTXJQ,SOLDADO COKE,416000,24130492,200
68,Insane Curiosity@UCNYaxPiba3oxmeL_3jKxnYA,Varieties Teck,397000,31146625,273
69,WeberAuto@UCtr07mdKhsUwVJjL8Kw_q5A,This is Tech Today,391000,150454,58
70,Wacky Universe@UCI1AkASiz8Axbp68V5NT1TA,American Thought Leaders - The Epoch Times,378000,7615201,175
71,Jayla Koriyan@UCWD296-oeygjyIY8WSOFbBA,Techisode TV,363000,105218732,114
72,Krystal Lora@UC2KZP_Rv4C_3iMHlZYcdE4A,TROYPOINT,360000,77563477,2888
73,Pick Gadgets@UCaNVgPGM5ssji28K-yljX4A,Jayla's Kloset,359000,35280644,77
74,Encrypto'd@UC05pQbIzg2dxw5IqtqqpJlg,Darbin Orvar,357000,32309019,140
75,Captain Gizmo@UCKFJx67o0c2MhgYlA3aCo_g,GregsGadgets,346000,66043575,518
76,EposVox@UCRBHiacaQb5S70pljtJYB2g,GregsGadgets,346000,70057465,288
77,TecH BoyS ToyS@UC9ufAseSDfIDdbhuQa9TwdA,Microsoft Mechanics,345000,80352630,1193
78,Sele Training @UCxNXNvi-lspIjVHa-wuLabA,EposVox,338000,40534529,876
79,Techisode TV @UCo6hpY_BpeDt72PEJicyVOQ,Nikias Molina,333000,19980575,328
80,DeviceCustomizer@UCk1deMsj4wVP37JazSqV5og,Captain Gizmo,332000,45644892,245
81,Nikias Molina @UC_TdF-rtQ8N53wHNbknPxkA,Krystal Lora,328000,76394402,19781
82,Microsoft Mechanics @UCJ9905MRHxwLZ2jeNQGIWxA,Pick Gadgets,328000,20844199,1173
83,Kristina Braly @UC1eL4LzgU3V_y_3lyHFc3YQ,TecH BoyS ToyS,320000,116951707,5283
84,Awesome Tech @UCetsjYU0iBuMPbXi1aA_XXg,Wacky Universe,319000,12384958,34
85,TWiT Tech Podcast Network @UCwY9B5_8QDGP8niZhBtTh8w,Sele Training,317000,53084817,760
86,I.T. Career Questions @UCt-Pwe2fODjH4Wuwf5VqE7A,Encrypto'd,313000,18771923,277
